C-f        -> forward-char
C-b        -> backward-char
C-n        -> next-line
C-p        -> previous-line
C-a        -> move-beginning-of-line
C-e        -> move-end-of-line
M-f        -> forward-word
M-b        -> backward-word
M-a        -> backward-sentence
M-e        -> forward-sentence
M-<        -> beginning-of-buffer
M->        -> end-of-buffer
C-v        -> scroll-up-command
M-v        -> scroll-down-command
C-l        -> recenter-top-bottom
M-g g      -> goto-line
M-m        -> back-to-indentation
C-d        -> delete-char
M-d        -> kill-word
C-k        -> kill-line
M-k        -> kill-sentence
C-w        -> kill-region
M-w        -> kill-ring-save
C-y        -> yank
M-y        -> yank-pop
C-SPC      -> set-mark-command
C-x C-x    -> exchange-point-and-mark
C-/        -> undo
C-_        -> undo
C-x u      -> undo
M-t        -> transpose-words
C-t        -> transpose-chars
C-x C-t    -> transpose-lines
M-u        -> upcase-word
M-l        -> downcase-word
M-c        -> capitalize-word
C-x C-f    -> find-file
C-x C-s    -> save-buffer
C-x s      -> save-some-buffers
C-x C-w    -> write-file
C-x C-v    -> find-alternate-file
C-x b      -> switch-to-buffer
C-x C-b    -> list-buffers
C-x k      -> kill-buffer
C-x C-c    -> save-buffers-kill-terminal
C-z        -> suspend-frame
C-x 0      -> delete-window
C-x 1      -> delete-other-windows
C-x 2      -> split-window-below
C-x 3      -> split-window-right
C-x o      -> other-window
C-s        -> isearch-forward
C-r        -> isearch-backward
C-M-s      -> isearch-forward-regexp
M-%        -> query-replace
C-h k      -> describe-key
C-h f      -> describe-function
C-h a      -> apropos-command
C-h m      -> describe-mode
C-h t      -> help-with-tutorial
C-h b      -> describe-bindings
C-g        -> keyboard-quit
M-x        -> execute-extended-command
C-q        -> quoted-insert
C-x (      -> kmacro-start-macro
C-x )      -> kmacro-end-macro
C-x e      -> kmacro-end-and-call-macro
M-;        -> comment-dwim
C-x r k    -> kill-rectangle
C-x r y    -> yank-rectangle
C-x h      -> mark-whole-buffer
